config,query_id,query_type_d24,precision@5_d24,recall@10_d24,ndcg@10_d24,mrr_d24,model,experiment,query_type_d22,precision@5_d22,recall@10_d22,ndcg@10_d22,mrr_d22,delta_precision@5,delta_recall@10,delta_ndcg@10,delta_mrr
raw,Q-35,MULTI_HOP,0.6,1.0,1.0,1.0,v1.5,single_layer,MULTI_HOP,0.4,0.6666666666666666,0.7039180890341347,1.0,0.19999999999999996,0.33333333333333337,0.29608191096586534,0.0
raw,Q-13,AUTHORITY,0.0,0.0,0.0,0.0,v1.5,single_layer,AUTHORITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,Q-14,AUTHORITY,0.4,1.0,0.9197207891481876,1.0,v1.5,single_layer,AUTHORITY,0.6,1.5,1.1837889117207785,1.0,-0.19999999999999996,-0.5,-0.26406812257259094,0.0
raw,Q-15,AUTHORITY,0.4,1.0,1.0,1.0,v1.5,single_layer,AUTHORITY,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
raw,Q-16,AUTHORITY,0.6,1.0,1.0,1.0,v1.5,single_layer,AUTHORITY,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0
raw,Q-17,AUTHORITY,0.2,0.5,0.6131471927654584,1.0,v1.5,single_layer,AUTHORITY,0.2,0.5,0.6131471927654584,1.0,0.0,0.0,0.0,0.0
raw,Q-18,TEMPORAL,0.2,0.5,0.23719771276929622,0.2,v1.5,single_layer,TEMPORAL,0.4,1.0,0.8772153153380493,1.0,-0.2,-0.5,-0.6400176025687531,-0.8
raw,Q-19,TEMPORAL,0.4,1.0,1.0,1.0,v1.5,single_layer,TEMPORAL,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
raw,Q-20,TEMPORAL,0.4,1.0,0.9197207891481876,1.0,v1.5,single_layer,TEMPORAL,0.4,1.5,1.0687523423529188,1.0,0.0,-0.5,-0.14903155320473127,0.0
raw,Q-21,TEMPORAL,0.4,1.0,0.9197207891481876,1.0,v1.5,single_layer,TEMPORAL,0.6,2.0,1.455605149587461,1.0,-0.19999999999999996,-1.0,-0.5358843604392733,0.0
raw,Q-22,TEMPORAL,0.2,1.0,0.8503449055347546,1.0,v1.5,single_layer,TEMPORAL,0.6,1.5,1.3065735963827294,1.0,-0.39999999999999997,-0.5,-0.4562286908479748,0.0
raw,Q-23,TEMPORAL,0.2,1.0,0.8315546295836225,1.0,v1.5,single_layer,TEMPORAL,0.6,1.5,0.8078394317246163,0.3333333333333333,-0.39999999999999997,-0.5,0.02371519785900622,0.6666666666666667
raw,Q-24,EXPLORATORY,0.0,0.25,0.13012668333070054,0.14285714285714285,v1.5,single_layer,EXPLORATORY,0.0,0.0,0.0,0.0,0.0,0.25,0.13012668333070054,0.14285714285714285
raw,Q-25,EXPLORATORY,0.2,0.25,0.3903800499921017,1.0,v1.5,single_layer,EXPLORATORY,0.6,0.75,0.8318724637288826,1.0,-0.39999999999999997,-0.5,-0.4414924137367809,0.0
raw,Q-26,EXPLORATORY,0.2,0.6666666666666666,0.34337431936037655,0.2,v1.5,single_layer,EXPLORATORY,0.4,1.0,0.5518331289811786,0.3333333333333333,-0.2,-0.33333333333333337,-0.2084588096208021,-0.1333333333333333
raw,Q-32,EXPLORATORY,0.2,0.25,0.3903800499921017,1.0,v1.5,single_layer,EXPLORATORY,0.4,0.75,0.6713527276121545,1.0,-0.2,-0.5,-0.2809726776200528,0.0
raw,Q-33,EXPLORATORY,0.4,0.6666666666666666,0.7653606369886217,1.0,v1.5,single_layer,EXPLORATORY,0.2,0.6666666666666666,0.6364391809889587,1.0,0.2,0.0,0.12892145599966298,0.0
raw,Q-36,EXPLORATORY,0.4,0.6666666666666666,0.7039180890341347,1.0,v1.5,single_layer,EXPLORATORY,0.6,1.3333333333333333,1.020088320026859,1.0,-0.19999999999999996,-0.6666666666666666,-0.31617023099272423,0.0
