layer,delta_precision@5,delta_recall@10,delta_ndcg@10,delta_mrr
Authority,-0.005555555555555536,0.0,-0.005923691064471104,0.00030864197530877657
Section,-0.011111111111111127,0.0,-0.009451270401077294,-0.018981481481481377
Relationships,0.0,0.0,0.0,0.0
