model,precision@5,recall@10,ndcg@10,mrr
BAAI/bge-m3,0.3652777777777778,0.7083333333333334,0.6802133692038436,0.7925925925925926
nomic-embed-text-v1.5,0.38287037037037036,0.7199074074074074,0.7062315318051806,0.8451719576719577
nomic-embed-text-v2-moe,0.41712962962962963,0.6736111111111112,0.671068493796261,0.816468253968254
