model,experiment,query_id,query_type,precision@5,recall@10,ndcg@10,mrr
v1.5,multi_layer,Q-01,SINGLE_HOP,0.2,0.5,2.548672940542857,1.0
v1.5,multi_layer,Q-02,SINGLE_HOP,0.2,0.5,2.4042489689396196,1.0
v1.5,multi_layer,Q-03,SINGLE_HOP,0.2,1.0,2.3902239297099417,1.0
v1.5,multi_layer,Q-04,SINGLE_HOP,0.4,1.0,1.93008839128635,1.0
v1.5,multi_layer,Q-05,SINGLE_HOP,0.2,0.5,2.608631366528106,1.0
v1.5,multi_layer,Q-06,SINGLE_HOP,0.2,0.5,0.7184074368181641,0.3333333333333333
v1.5,multi_layer,Q-07,SINGLE_HOP,0.2,0.5,2.7858706533121533,1.0
v1.5,multi_layer,Q-27,SINGLE_HOP,0.4,1.0,2.7858706533121533,1.0
v1.5,multi_layer,Q-28,SINGLE_HOP,0.2,0.5,0.2640681225725909,0.25
v1.5,multi_layer,Q-30,SINGLE_HOP,0.2,0.5,2.7858706533121533,1.0
v1.5,multi_layer,Q-34,SINGLE_HOP,0.2,0.5,2.4042489689396196,1.0
v1.5,multi_layer,Q-08,MULTI_HOP,0.6,1.0,2.1321957377868976,1.0
v1.5,multi_layer,Q-09,MULTI_HOP,0.6,1.0,1.9650352828206952,1.0
v1.5,multi_layer,Q-10,MULTI_HOP,0.2,0.6666666666666666,1.8237683099608664,1.0
v1.5,multi_layer,Q-11,MULTI_HOP,0.4,0.6666666666666666,1.8169943273377627,1.0
v1.5,multi_layer,Q-12,MULTI_HOP,0.4,0.6666666666666666,1.9841547823039647,1.0
v1.5,multi_layer,Q-29,MULTI_HOP,0.6,1.0,2.1321957377868976,1.0
v1.5,multi_layer,Q-31,MULTI_HOP,0.6,1.0,2.1321957377868976,1.0
v1.5,multi_layer,Q-35,MULTI_HOP,0.4,0.6666666666666666,1.8093869723897158,1.0
v1.5,multi_layer,Q-13,AUTHORITY,0.0,0.0,0.0,0.0
v1.5,multi_layer,Q-14,AUTHORITY,0.4,1.0,2.328376127122292,1.0
v1.5,multi_layer,Q-15,AUTHORITY,0.4,1.0,2.37143365375881,1.0
v1.5,multi_layer,Q-16,AUTHORITY,0.6,1.0,1.9841547823039647,1.0
v1.5,multi_layer,Q-17,AUTHORITY,0.2,0.5,2.608631366528106,1.0
v1.5,multi_layer,Q-18,TEMPORAL,0.2,0.5,1.1381282259663517,1.0
v1.5,multi_layer,Q-19,TEMPORAL,0.4,1.0,2.5814882557236674,1.0
v1.5,multi_layer,Q-20,TEMPORAL,0.2,1.0,2.5924442496948825,1.0
v1.5,multi_layer,Q-21,TEMPORAL,0.4,1.0,2.6012949565325854,1.0
v1.5,multi_layer,Q-22,TEMPORAL,0.4,1.0,2.363080818905503,1.0
v1.5,multi_layer,Q-23,TEMPORAL,0.4,1.0,2.0100597517095578,1.0
v1.5,multi_layer,Q-24,EXPLORATORY,0.0,0.25,0.11751610475642714,0.1111111111111111
v1.5,multi_layer,Q-25,EXPLORATORY,0.6,0.75,1.234793402816399,1.0
v1.5,multi_layer,Q-26,EXPLORATORY,0.2,0.6666666666666666,0.9949324604529003,0.5
v1.5,multi_layer,Q-32,EXPLORATORY,0.2,0.25,0.7246262544989281,1.0
v1.5,multi_layer,Q-33,EXPLORATORY,0.4,0.6666666666666666,1.519301112470348,1.0
v1.5,multi_layer,Q-36,EXPLORATORY,0.4,0.6666666666666666,1.3433743193603764,1.0
